"Fietsnetwerk naar wegtype ";"Perioden";"Regio's";"Lengte van fietsnetwerk  (km)"
"Totale fietsnetwerklengte";"2024";"Aa en Hunze";664,9
"Totale fietsnetwerklengte";"2025";"Aa en Hunze";661,7
"Totale fietsnetwerklengte";"2024";"Aalsmeer";169,6
"Totale fietsnetwerklengte";"2025";"Aalsmeer";169,6
"Totale fietsnetwerklengte";"2024";"Aalten";467,4
"Totale fietsnetwerklengte";"2025";"Aalten";468
"Totale fietsnetwerklengte";"2024";"Achtkarspelen";355,9
"Totale fietsnetwerklengte";"2025";"Achtkarspelen";359,2
"Totale fietsnetwerklengte";"2024";"Alblasserdam";101,2
"Totale fietsnetwerklengte";"2025";"Alblasserdam";101,5
"Totale fietsnetwerklengte";"2024";"Albrandswaard";179,1
"Totale fietsnetwerklengte";"2025";"Albrandswaard";179,8
"Totale fietsnetwerklengte";"2024";"Alkmaar";654,1
"Totale fietsnetwerklengte";"2025";"Alkmaar";653,3
"Totale fietsnetwerklengte";"2024";"Almelo";568,3
"Totale fietsnetwerklengte";"2025";"Almelo";568,1
"Totale fietsnetwerklengte";"2024";"Almere";1275,1
"Totale fietsnetwerklengte";"2025";"Almere";1282,4
"Totale fietsnetwerklengte";"2024";"Alphen aan den Rijn";657,4
"Totale fietsnetwerklengte";"2025";"Alphen aan den Rijn";658,1
"Totale fietsnetwerklengte";"2024";"Alphen-Chaam";268,3
"Totale fietsnetwerklengte";"2025";"Alphen-Chaam";269
"Totale fietsnetwerklengte";"2024";"Altena";733,2
"Totale fietsnetwerklengte";"2025";"Altena";736,3
"Totale fietsnetwerklengte";"2024";"Ameland";189,2
"Totale fietsnetwerklengte";"2025";"Ameland";189,2
"Totale fietsnetwerklengte";"2024";"Amersfoort";723,5
"Totale fietsnetwerklengte";"2025";"Amersfoort";723,3
"Totale fietsnetwerklengte";"2024";"Amstelveen";433,1
"Totale fietsnetwerklengte";"2025";"Amstelveen";435,4
"Totale fietsnetwerklengte";"2024";"Amsterdam";2521,5
"Totale fietsnetwerklengte";"2025";"Amsterdam";2533,7
"Totale fietsnetwerklengte";"2024";"Apeldoorn";1483,6
"Totale fietsnetwerklengte";"2025";"Apeldoorn";1487,3
"Totale fietsnetwerklengte";"2024";"Arnhem";910,5
"Totale fietsnetwerklengte";"2025";"Arnhem";915,1
"Totale fietsnetwerklengte";"2024";"Assen";554,6
"Totale fietsnetwerklengte";"2025";"Assen";563,1
"Totale fietsnetwerklengte";"2024";"Asten";236,2
"Totale fietsnetwerklengte";"2025";"Asten";236,7
"Totale fietsnetwerklengte";"2024";"Baarle-Nassau";187,3
"Totale fietsnetwerklengte";"2025";"Baarle-Nassau";187,2
"Totale fietsnetwerklengte";"2024";"Baarn";200,6
"Totale fietsnetwerklengte";"2025";"Baarn";200,8
"Totale fietsnetwerklengte";"2024";"Barendrecht";290,7
"Totale fietsnetwerklengte";"2025";"Barendrecht";289,4
"Totale fietsnetwerklengte";"2024";"Barneveld";743,8
"Totale fietsnetwerklengte";"2025";"Barneveld";746,9
"Totale fietsnetwerklengte";"2024";"Beek (L.)";139,5
"Totale fietsnetwerklengte";"2025";"Beek (L.)";141,3
"Totale fietsnetwerklengte";"2024";"Beekdaelen";464,7
"Totale fietsnetwerklengte";"2025";"Beekdaelen";464,9
"Totale fietsnetwerklengte";"2024";"Beesel";176,9
"Totale fietsnetwerklengte";"2025";"Beesel";176,3
"Totale fietsnetwerklengte";"2024";"Berg en Dal";393,2
"Totale fietsnetwerklengte";"2025";"Berg en Dal";393,3
"Totale fietsnetwerklengte";"2024";"Bergeijk";341,8
"Totale fietsnetwerklengte";"2025";"Bergeijk";346,1
"Totale fietsnetwerklengte";"2024";"Bergen (L.)";348,8
"Totale fietsnetwerklengte";"2025";"Bergen (L.)";348,7
"Totale fietsnetwerklengte";"2024";"Bergen (NH.)";360,8
"Totale fietsnetwerklengte";"2025";"Bergen (NH.)";358,3
"Totale fietsnetwerklengte";"2024";"Bergen op Zoom";507,4
"Totale fietsnetwerklengte";"2025";"Bergen op Zoom";507,1
"Totale fietsnetwerklengte";"2024";"Berkelland";1058,4
"Totale fietsnetwerklengte";"2025";"Berkelland";1057,9
"Totale fietsnetwerklengte";"2024";"Bernheze";446,8
"Totale fietsnetwerklengte";"2025";"Bernheze";446,2
"Totale fietsnetwerklengte";"2024";"Best";268,1
"Totale fietsnetwerklengte";"2025";"Best";268,4
"Totale fietsnetwerklengte";"2024";"Beuningen";252,7
"Totale fietsnetwerklengte";"2025";"Beuningen";251,7
"Totale fietsnetwerklengte";"2024";"Beverwijk";190,1
"Totale fietsnetwerklengte";"2025";"Beverwijk";190,5
"Totale fietsnetwerklengte";"2024";"De Bilt";276,7
"Totale fietsnetwerklengte";"2025";"De Bilt";276,4
"Totale fietsnetwerklengte";"2024";"Bladel";268,3
"Totale fietsnetwerklengte";"2025";"Bladel";268,3
"Totale fietsnetwerklengte";"2024";"Blaricum";109,2
"Totale fietsnetwerklengte";"2025";"Blaricum";109,2
"Totale fietsnetwerklengte";"2024";"Bloemendaal";203,8
