"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)";"Verkeer en vervoer/Treinstations/Afstand tot treinstations totaal (km)";"Verkeer en vervoer/Treinstations/Afstand tot belangrijk overstapstation (km)"
"Nederland";"Nederland                               ";"Land      ";"NL00      ";".";1,9;5,3;10,8
"Aa en Hunze";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";"1";1,5;12,4;14,3
"Wijk 00 Annen";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1";1,5;13,3;14,2
"Annen";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1";1,5;13,2;14,2
"Verspreide huizen Annen";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1";2,5;13,8;15,3
"Wijk 01 Eext";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1";3,9;13,8;13,8
"Eext";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1";3,9;13,6;13,6
"Verspreide huizen Eext";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1";3,7;15,4;15,6
"Wijk 02 Anloo";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1";1;11,8;11,8
"Anloo";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1";1;11,7;11,7
"Verspreide huizen Anloo";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1";1,1;12,2;12,2
"Wijk 03 Gasteren";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1";3,8;9;9
"Gasteren";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1";3,8;9;9
"Verspreide huizen Gasteren";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1";3,6;9,7;9,7
"Wijk 04 Anderen";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1";4,9;9,5;9,5
"Anderen";"Aa en Hunze                             ";"Buurt     ";"BU16800400";"1";5;9,6;9,6
"Verspreide huizen Anderen";"Aa en Hunze                             ";"Buurt     ";"BU16800409";"1";4,2;8,9;8,9
"Wijk 05 Schipborg";"Aa en Hunze                             ";"Wijk      ";"WK168005  ";"1";2,1;12,2;13,3
"Schipborg";"Aa en Hunze                             ";"Buurt     ";"BU16800500";"1";2;12,2;13,2
"Verspreide huizen Schipborg";"Aa en Hunze                             ";"Buurt     ";"BU16800509";"1";2,6;12,7;13,8
"Wijk 06 Eexterveen";"Aa en Hunze                             ";"Wijk      ";"WK168006  ";"1";1,7;10,8;20,6
"Eexterveen";"Aa en Hunze                             ";"Buurt     ";"BU16800600";"1";1,7;10,7;20,6
"Verspreide huizen Eexterveen";"Aa en Hunze                             ";"Buurt     ";"BU16800609";"1";2,9;11,8;20,3
"Wijk 07 Spijkerboor";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1";3,4;10,7;17,7
"Spijkerboor";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1";3,4;10,7;17,7
"Verspreide huizen Spijkerboor";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1";;;
"Wijk 08 Nieuw-Annerveen";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1";4;11,9;18,8
"Nieuw-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1";4;11,8;18,6
"Verspreide huizen Nieuw-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1";4,1;12,4;19,9
"Wijk 09 Oud-Annerveen";"Aa en Hunze                             ";"Wijk      ";"WK168009  ";"1";3,6;10,2;19
"Oud-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800900";"1";3,6;10,2;19
"Verspreide huizen Oud-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800909";"1";;;
"Wijk 11 Annerveenschekanaal";"Aa en Hunze                             ";"Wijk      ";"WK168011  ";"1";1,9;9,6;20,5
"Annerveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801100";"1";1,9;9,6;20,5
"Verspreide huizen Annerveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801109";"1";;;
"Wijk 12 Eexterveenschekanaal";"Aa en Hunze                             ";"Wijk      ";"WK168012  ";"1";0,7;8,6;22,7
"Eexterveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801200";"1";0,7;8,6;22,7
"Verspreide huizen Eexterveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1";;;
"Wijk 13 Eexterzandvoort";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1";3,7;13;18
"Eexterzandvoort";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1";3,7;13;17,9
"Verspreide huizen Eexterzandvoort";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1";3,6;12,9;18,1
"Wijk 14 Gasselte";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1";0,8;18;18,1
"Gasselte";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1";0,7;18,3;18,3
"Kostvlies";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1";1;17,2;17,9
"Verspreide huizen Gasselte";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1";1,2;16,4;16,6
"Wijk 15 Gasselternijveen";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1";0,6;16,6;22,1
"Gasselternijveen";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1";0,6;16,6;22,1
"Gasselterboerveen";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1";1,3;14,7;21,7
"Verspreide huizen Gasselternijveen";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1";;;
"Wijk 16 Gasselternijveenschemond";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1";0,5;15,7;26
"Gasselternijveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1";0,4;15,8;26,1
"Gasselterboerveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801601";"1";2;14,4;24,8
"Verspr.h. Gasselternijveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801609";"1";;;
"Wijk 17 Gieten";"Aa en Hunze                             ";"Wijk      ";"WK168017  ";"1";1,2;14,9;15
"Gieten";"Aa en Hunze                             ";"Buurt     ";"BU16801700";"1";1,1;15;15
"Verspreide huizen Gieten";"Aa en Hunze                             ";"Buurt     ";"BU16801709";"1";1,8;13,4;15,4
"Wijk 18 Gieterveen";"Aa en Hunze                             ";"Wijk      ";"WK168018  ";"1";2,1;11,2;21,6
"Gieterveen";"Aa en Hunze                             ";"Buurt     ";"BU16801800";"1";2,1;11,5;21,1
"Bonnerveen";"Aa en Hunze                             ";"Buurt     ";"BU16801801";"1";2,8;13,4;20,4
"Nieuwediep";"Aa en Hunze                             ";"Buurt     ";"BU16801802";"1";1,9;9,2;23,2
"Verspreide huizen Gieterveen";"Aa en Hunze                             ";"Buurt     ";"BU16801809";"1";2,3;11,8;21,7
"Wijk 19 Rolde";"Aa en Hunze                             ";"Wijk      ";"WK168019  ";"1";1,1;6,6;6,6
"Rolde";"Aa en Hunze                             ";"Buurt     ";"BU16801900";"1";1,1;6,4;6,4
"Ballo";"Aa en Hunze                             ";"Buurt     ";"BU16801901";"1";3;4,7;4,7
"Nijlande";"Aa en Hunze                             ";"Buurt     ";"BU16801902";"1";2,9;5,6;5,6
"Deurze";"Aa en Hunze                             ";"Buurt     ";"BU16801903";"1";4,4;3,8;3,8
"Verspreide huizen Nooitgedacht";"Aa en Hunze                             ";"Buurt     ";"BU16801908";"1";0,5;8,2;8,2
"Verspreide huizen Rolde";"Aa en Hunze                             ";"Buurt     ";"BU16801909";"1";2;7,3;7,3
"Wijk 20 Grolloo";"Aa en Hunze                             ";"Wijk      ";"WK168020  ";"1";0,5;12,6;12,7
"Grolloo";"Aa en Hunze                             ";"Buurt     ";"BU16802000";"1";0,4;11,8;11,8
"Schoonloo";"Aa en Hunze                             ";"Buurt     ";"BU16802001";"1";0,2;15,5;15,6
"Verspreide huizen Papenvoort";"Aa en Hunze                             ";"Buurt     ";"BU16802008";"1";0,4;12,5;12,5
"Verspreide huizen Grolloo";"Aa en Hunze                             ";"Buurt     ";"BU16802009";"1";1,1;12,8;13
"Wijk 21 Ekehaar";"Aa en Hunze                             ";"Wijk      ";"WK168021  ";"1";4,6;6,5;6,5
"Ekehaar";"Aa en Hunze                             ";"Buurt     ";"BU16802100";"1";4,8;6,1;6,1
"Amen";"Aa en Hunze                             ";"Buurt     ";"BU16802101";"1";4,6;7,5;7,5
"Verspreide huizen Ekehaar";"Aa en Hunze                             ";"Buurt     ";"BU16802109";"1";4,2;6,5;6,5
"Aalsmeer";"Aalsmeer                                ";"Gemeente  ";"GM0358    ";"1";1,3;8,1;8,9
"Wijk 00 Aalsmeer";"Aalsmeer                                ";"Wijk      ";"WK035800  ";"1";1,2;6,4;7,5
"Centrum";"Aalsmeer                                ";"Buurt     ";"BU03580000";"1";0,7;5,4;6,5
"Stommeer";"Aalsmeer                                ";"Buurt     ";"BU03580001";"1";1,4;6,4;7,4
"Hornmeer";"Aalsmeer                                ";"Buurt     ";"BU03580004";"1";0,9;7,5;8,5
"Uiterweg";"Aalsmeer                                ";"Buurt     ";"BU03580005";"1";2,3;7;8,2
"Wijk 01 Kudelstraat en Kalslagen";"Aalsmeer                                ";"Wijk      ";"WK035801  ";"1";1,8;10,1;11,2
"Kudelstaart";"Aalsmeer                                ";"Buurt     ";"BU03580100";"1";1,8;10,1;11,2
"Wijk 02 Oosteinde";"Aalsmeer                                ";"Wijk      ";"WK035802  ";"1";1;8,6;8,8
"Bovenlanden";"Aalsmeer                                ";"Buurt     ";"BU03580200";"1";1,6;7,3;8,3
"Greenpark";"Aalsmeer                                ";"Buurt     ";"BU03580201";"1";1,1;8,3;8,7
"Oosteinde";"Aalsmeer                                ";"Buurt     ";"BU03580205";"1";0,9;8,8;8,8
"Schinkelpolder";"Aalsmeer                                ";"Buurt     ";"BU03580206";"1";1,2;9,5;10
"Aalten";"Aalten                                  ";"Gemeente  ";"GM0197    ";"1";1;4,4;41,3
"Wijk 01 Buitengebied Aalten";"Aalten                                  ";"Wijk      ";"WK019701  ";"1";1,4;4,2;40,2
