ID,DistrictsAndNeighborhoods,MunicipalityName,RegionType,RegionCode,BoundaryChange,Population,TotalPropertyDamageAndViolence_Index,TotalPropertyCrimes,TotalTheft,BicycleTheft,TheftOtherVehicles,TheftFromVehicles,PickpocketingAndRobbery,TotalTheftHomeShedEtc,TheftNonResidentialBuildings,OtherTheftBurglary,OtherPropertyCrimes,TotalVandalismPublicOrder,TotalVandalism,CarVandalism,OtherVandalism,OtherPublicOrderVandalism,TotalViolentAndSexualCrimes,Assault,ThreatsAndStalking,OtherViolentAndSexualCrimes,TotalPropertyDamageAndViolence_Rate,TotalPropertyCrimes_Rate,TotalTheftHomeShed_Rate,VandalismPublicOrder_Rate,ViolentAndSexualCrimes_Rate
0,GM1680    ,Aa en Hunze                   ,Gemeente,GM1680    ,       .,25390,423.0,284.0,199.0,24.0,3.0,13.0,1.0,60.0,38.0,60.0,85.0,73.0,59.0,14.0,45.0,14.0,66.0,26.0,23.0,17.0,17.0,11.0,2.0,2.0,3.0
1,WK168000  ,Aa en Hunze                   ,Wijk    ,WK168000  ,       1,3560,38.0,22.0,16.0,2.0,0.0,2.0,0.0,2.0,7.0,3.0,6.0,9.0,8.0,1.0,7.0,1.0,7.0,3.0,3.0,1.0,11.0,6.0,1.0,2.0,2.0
2,BU16800000,Aa en Hunze                   ,Buurt   ,BU16800000,       1,3415,37.0,21.0,15.0,2.0,0.0,2.0,0.0,2.0,6.0,3.0,6.0,9.0,8.0,1.0,7.0,1.0,7.0,3.0,3.0,1.0,11.0,6.0,1.0,2.0,2.0
3,BU16800009,Aa en Hunze                   ,Buurt   ,BU16800009,       1,145,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
4,WK168001  ,Aa en Hunze                   ,Wijk    ,WK168001  ,       1,1430,19.0,16.0,12.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,13.0,11.0,2.0,1.0,1.0
5,BU16800100,Aa en Hunze                   ,Buurt   ,BU16800100,       1,1260,13.0,12.0,8.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,10.0,2.0,0.0,1.0
6,BU16800109,Aa en Hunze                   ,Buurt   ,BU16800109,       1,170,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,35.0,24.0,0.0,6.0,6.0
7,WK168002  ,Aa en Hunze                   ,Wijk    ,WK168002  ,       1,445,10.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,18.0,0.0,2.0,0.0
8,BU16800200,Aa en Hunze                   ,Buurt   ,BU16800200,       1,325,9.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,25.0,0.0,3.0,0.0
9,BU16800209,Aa en Hunze                   ,Buurt   ,BU16800209,       1,125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
