Region_Code,year,Neighborhood_Name,Municipality_Name,Region_Type,Boundary_Change_Code,Dist_Primary_School,Count_Primary_1km,Count_Primary_3km,Count_Primary_5km,Dist_Secondary_Total,Count_Secondary_3km,Count_Secondary_5km,Count_Secondary_10km,Dist_Secondary_VMBO,Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 3  km (aantal),Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 5  km (aantal),Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 10  km (aantal),Dist_Secondary_HAVO_VWO,Count_Secondary_HAVO_VWO_3km,Count_Secondary_HAVO_VWO_5km,Count_Secondary_HAVO_VWO_10km,Dist_Public_Green_Total,Dist_Park,Dist_Day_Recreation,Dist_Forest,Dist_Nature_Area_Total,Dist_Nature_Area_Dry,Dist_Nature_Area_Wet,Dist_SemiPublic_Green,Dist_Sports_Field,Dist_Allotment_Garden,Dist_Holiday_Recreation,Dist_Cemetery,Dist_Recreation_Water,Dist_GP_Surgery,Count_GP_1km,Count_GP_3km,Count_GP_5km,Dist_GP_Out_Of_Hours,Dist_Pharmacy,Dist_Hospital_Incl_Outpatient,Count_Hospital_Incl_5km,Count_Hospital_Incl_10km,Count_Hospital_Incl_20km,Dist_Hospital_Excl_Outpatient,Count_Hospital_Excl_5km,Count_Hospital_Excl_10km,Count_Hospital_Excl_20km,Dist_Clinic_Infant_Child,Dist_Physiotherapist,Count_Physio_1km,Count_Physio_3km,Count_Physio_5km,Dist_Supermarket,Count_Supermarket_1km,Count_Supermarket_3km,Count_Supermarket_5km,Dist_Other_Grocery,Count_Other_Grocery_1km,Count_Other_Grocery_3km,Count_Other_Grocery_5km,Dist_Department_Store,Count_DeptStore_5km,Count_DeptStore_10km,Count_DeptStore_20km,Dist_Highway_Entrance,Dist_Train_Station_Total,Dist_Major_Transfer_Station
BU00140000,,Binnenstad-Noord,Groningen,Buurt     ,1,0.5,1.8,16.1,25.4,0.9,11.4,23.8,26.0,1.0,7.7,17.8,19.0,0.9,7.0,11.0,13.0,,,,,,,,,,,,,,0.4,4.6,26.3,36.9,4.3,0.5,1.3,2.0,3.0,3.0,1.3,2.0,2.0,2.0,,,,,,0.3,9.1,33.7,48.4,0.1,50.7,126.6,152.8,0.9,5.0,7.0,14.0,1.8,1.3,1.3
BU00140001,,Binnenstad-Zuid,Groningen,Buurt     ,1,0.8,1.5,14.4,25.1,1.0,13.9,23.8,26.0,1.2,9.1,17.7,19.0,1.0,7.7,10.9,13.0,,,,,,,,,,,,,,0.3,4.7,26.4,36.1,3.9,0.8,1.3,2.6,3.0,3.0,1.3,2.0,2.0,2.0,,,,,,0.3,8.4,34.2,47.2,0.1,44.8,127.9,149.5,0.9,5.0,7.0,14.0,1.4,0.9,0.9
BU00140002,,Binnenstad-Oost,Groningen,Buurt     ,1,0.8,1.5,14.8,26.3,0.5,7.9,23.9,26.0,0.6,5.3,17.9,19.0,0.5,5.5,10.9,13.0,,,,,,,,,,,,,,0.5,5.5,24.2,35.7,4.7,0.5,0.6,1.9,3.0,3.0,0.6,1.9,2.0,2.0,,,,,,0.5,6.7,32.7,47.4,0.3,31.5,117.2,151.3,1.1,5.0,7.0,14.0,1.6,1.6,1.7
BU00140003,,Binnenstad-West,Groningen,Buurt     ,1,1.0,0.5,13.9,27.5,1.7,14.8,20.6,26.0,1.7,10.8,14.6,19.0,1.7,6.7,10.1,13.0,,,,,,,,,,,,,,0.6,3.4,26.4,37.5,3.8,0.9,2.1,2.0,3.0,3.0,2.1,2.0,2.0,2.0,,,,,,0.3,4.6,33.3,47.1,0.2,31.0,128.3,150.6,1.1,5.0,7.0,14.0,1.4,0.9,0.9
BU00140004,,Noorderplantsoen,Groningen,Buurt     ,1,0.4,1.4,16.0,27.0,1.6,13.0,20.0,26.0,1.7,9.0,14.0,19.0,1.6,7.0,11.0,13.0,,,,,,,,,,,,,,0.5,3.4,27.0,37.0,4.3,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,,,,,,0.5,4.0,36.0,47.0,0.4,26.6,126.0,150.0,1.3,5.0,7.0,14.0,1.5,1.3,1.3
BU00140005,,Hortusbuurt-Ebbingekwartier,Groningen,Buurt     ,1,0.6,2.3,15.9,29.1,1.2,7.2,23.9,26.0,1.3,5.0,17.9,19.0,1.2,4.9,11.0,13.0,,,,,,,,,,,,,,0.4,4.2,26.2,37.8,4.8,0.6,1.5,1.8,3.0,3.0,1.5,1.8,2.0,2.0,,,,,,0.4,7.3,33.2,48.1,0.3,30.5,120.5,153.2,1.3,5.0,7.3,14.0,1.8,1.2,1.9
BU00140007,,UMCG,Groningen,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU00140008,,Stationsgebied,Groningen,Buurt     ,1,0.8,1.5,14.4,26.9,1.3,14.5,21.7,26.0,1.3,10.1,15.7,19.0,1.3,7.0,10.9,13.0,,,,,,,,,,,,,,0.5,2.6,26.2,38.7,3.4,1.1,1.9,3.0,3.0,3.0,1.9,2.0,2.0,2.0,,,,,,0.7,5.7,30.2,47.5,0.2,25.5,120.7,151.1,0.8,5.0,7.0,14.0,1.3,0.2,0.2
BU00140100,,De Meeuwen,Groningen,Buurt     ,1,0.8,1.2,9.8,23.0,1.6,7.2,23.0,26.0,1.6,4.9,17.0,19.0,1.6,5.5,10.0,13.0,,,,,,,,,,,,,,0.6,2.3,21.2,34.4,4.6,0.8,1.4,2.0,3.0,3.0,1.4,1.9,2.0,2.0,,,,,,0.9,0.6,24.5,44.2,0.6,4.1,107.9,145.5,2.0,5.0,7.0,14.0,1.2,1.4,1.5
BU00140101,,Oosterpoort,Groningen,Buurt     ,1,0.4,2.0,11.1,23.7,1.5,10.9,23.6,26.0,1.5,7.1,17.5,19.0,1.5,6.8,10.7,13.0,,,,,,,,,,,,,,0.6,3.4,23.4,34.3,4.3,0.6,1.5,2.6,3.0,3.0,1.5,2.0,2.0,2.0,,,,,,0.5,2.3,27.3,45.4,0.3,8.5,113.9,147.5,1.8,5.0,7.0,14.0,1.3,1.0,1.2
