"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot bos (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km)";"Groenvoorzieningen/Afstand tot recreatief binnenwater (km)"
"Nederland";"Nederland                               ";"Land      ";"NL00      ";".";;;;;;;;;;;;;
"Aa en Hunze";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";"1";;;;;;;;;;;;;
"Wijk 00 Annen";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1";;;;;;;;;;;;;
"Annen";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1";;;;;;;;;;;;;
"Verspreide huizen Annen";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1";;;;;;;;;;;;;
"Wijk 01 Eext";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1";;;;;;;;;;;;;
"Eext";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1";;;;;;;;;;;;;
"Verspreide huizen Eext";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1";;;;;;;;;;;;;
"Wijk 02 Anloo";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1";;;;;;;;;;;;;
"Anloo";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1";;;;;;;;;;;;;
"Verspreide huizen Anloo";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1";;;;;;;;;;;;;
"Wijk 03 Gasteren";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1";;;;;;;;;;;;;
"Gasteren";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1";;;;;;;;;;;;;
"Verspreide huizen Gasteren";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1";;;;;;;;;;;;;
"Wijk 04 Anderen";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1";;;;;;;;;;;;;
"Anderen";"Aa en Hunze                             ";"Buurt     ";"BU16800400";"1";;;;;;;;;;;;;
"Verspreide huizen Anderen";"Aa en Hunze                             ";"Buurt     ";"BU16800409";"1";;;;;;;;;;;;;
"Wijk 05 Schipborg";"Aa en Hunze                             ";"Wijk      ";"WK168005  ";"1";;;;;;;;;;;;;
"Schipborg";"Aa en Hunze                             ";"Buurt     ";"BU16800500";"1";;;;;;;;;;;;;
"Verspreide huizen Schipborg";"Aa en Hunze                             ";"Buurt     ";"BU16800509";"1";;;;;;;;;;;;;
"Wijk 06 Eexterveen";"Aa en Hunze                             ";"Wijk      ";"WK168006  ";"1";;;;;;;;;;;;;
"Eexterveen";"Aa en Hunze                             ";"Buurt     ";"BU16800600";"1";;;;;;;;;;;;;
"Verspreide huizen Eexterveen";"Aa en Hunze                             ";"Buurt     ";"BU16800609";"1";;;;;;;;;;;;;
"Wijk 07 Spijkerboor";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1";;;;;;;;;;;;;
"Spijkerboor";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1";;;;;;;;;;;;;
"Verspreide huizen Spijkerboor";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1";;;;;;;;;;;;;
"Wijk 08 Nieuw-Annerveen";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1";;;;;;;;;;;;;
"Nieuw-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1";;;;;;;;;;;;;
"Verspreide huizen Nieuw-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1";;;;;;;;;;;;;
