"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)"
"Nederland";"Nederland                               ";"Land      ";"NL00      ";".";1,1;1,2;7,8;16,9;7,1;1,3;4,9;1,1;2,9;8,7;7,3;0,7;1,6;4,2;;;;;
"Aa en Hunze";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";"1";2,4;0,4;0,8;1,6;11,2;2,5;10,9;0;0,6;3,1;11,2;0;0,4;1,4;;;;;
"Wijk 00 Annen";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1";0,9;0,7;1;2,8;15,3;0,9;14,5;0;0;4,2;15,3;0;0;1,2;;;;;
"Annen";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1";0,8;0,7;1;2,9;15,3;0,8;14,6;0;0;4,2;15,3;0;0;1,2;;;;;
"Verspreide huizen Annen";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1";2,5;0;0,7;1,3;16,3;2,5;13,9;0;0;4,9;16,3;0;0;1,9;;;;;
"Wijk 01 Eext";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1";3,8;0;0;2;14,9;3,8;14,7;0;0;4;14,9;0;0;2;;;;;
"Eext";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1";3,8;0;0;2;14,6;3,8;14,6;0;0;4;14,6;0;0;2;;;;;
"Verspreide huizen Eext";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1";3,7;0;0,4;2,1;16,4;3,7;15,5;0;0;4;16,4;0;0;2;;;;;
"Wijk 02 Anloo";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1";2,2;0;1;1;12,9;2,2;12,3;0;0;4;12,9;0;0;1;;;;;
"Anloo";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1";2,2;0;1;1;12,8;2,2;12,3;0;0;4;12,8;0;0;1;;;;;
"Verspreide huizen Anloo";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1";2,3;0;0,9;1;13,3;2,3;12,7;0;0;4;13,3;0;0;1;;;;;
"Wijk 03 Gasteren";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1";5,1;0;0;0,4;10,1;5,1;9,5;0;1,4;4;10,1;0;0,4;1;;;;;
"Gasteren";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1";5,1;0;0;0,4;10,1;5,1;9,5;0;1,4;4;10,1;0;0,4;1;;;;;
"Verspreide huizen Gasteren";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1";4,8;0;0;0,5;10,8;4,8;10,2;0;0;3,5;10,8;0;0;1;;;;;
"Wijk 04 Anderen";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1";4,1;0;0;1;10,6;4;10,6;0;0,1;2;10,6;0;0,1;1;;;;;
