"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)"
"Nederland";"Nederland                               ";"Land      ";"NL00      ";".";1;1,7;10,8;23,5;0,8;6,8;47;102,8;2,7;2,4;6,6;19,6
"Aa en Hunze";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";"1";2,4;0,7;1,4;2,6;1,6;1,7;3,6;6,6;5,3;0,4;1,8;7,7
"Wijk 00 Annen";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1";0,9;1,3;2;4,3;0,8;2,6;5,4;10,1;5,2;0,4;2;11,2
"Annen";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1";0,8;1,4;2;4,4;0,8;2,7;5,4;10,2;5,1;0,4;2;11,2
"Verspreide huizen Annen";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1";2;0,1;1,8;2,2;1,9;0,2;4,1;5,8;6,3;0;2;10,1
"Wijk 01 Eext";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1";3,4;0;0,2;3,3;4;0;0,2;5,9;4,3;0,9;1,2;9
"Eext";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1";3,5;0;0,1;3,3;4;0;0;5,7;4,2;1;1,1;9
"Verspreide huizen Eext";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1";3,3;0;0,6;3;3,3;0;1,5;6,9;4,5;0,6;1,8;9,1
"Wijk 02 Anloo";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1";2,7;0;1,8;2;0,5;1;4,7;5,1;7,3;0;2;10
"Anloo";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1";2,7;0;1,8;2;0,5;1;4,7;5,1;7,3;0;2;10
"Verspreide huizen Anloo";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1";2,8;0;1,8;2,1;0,6;0,9;4,6;5;7,3;0;1,9;10,1
"Wijk 03 Gasteren";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1";5,5;0;0;0,1;3,4;0;0,1;1,2;7,9;0;2,9;9,5
"Gasteren";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1";5,5;0;0;0;3,4;0;0,1;1,1;7,9;0;2,9;9,5
"Verspreide huizen Gasteren";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1";5;0;0;1;3,1;0;0,5;3;7,8;0;1;9,5
"Wijk 04 Anderen";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1";3,8;0;0,1;2,1;3,8;0;0,2;4,1;7,5;0;1,3;6
"Anderen";"Aa en Hunze                             ";"Buurt     ";"BU16800400";"1";3,9;0;0;2;3,9;0;0;4;7,6;0;1,2;6
"Verspreide huizen Anderen";"Aa en Hunze                             ";"Buurt     ";"BU16800409";"1";3,2;0;1;2,5;3,2;0;1,7;5,1;7,2;0;2,2;6
"Wijk 05 Schipborg";"Aa en Hunze                             ";"Wijk      ";"WK168005  ";"1";1,7;0;1,1;4,9;2,9;0;2,3;12,2;3,3;1;1;12,5
"Schipborg";"Aa en Hunze                             ";"Buurt     ";"BU16800500";"1";1,6;0;1,1;5;2,9;0;2,3;12,4;3,2;1;1;12,6
"Verspreide huizen Schipborg";"Aa en Hunze                             ";"Buurt     ";"BU16800509";"1";2,2;0;1;3,9;3,1;0;2,4;10,9;3,8;1;1;12
"Wijk 06 Eexterveen";"Aa en Hunze                             ";"Wijk      ";"WK168006  ";"1";7,1;0;0;0;3,8;0;0,2;1;7,7;0;1,2;6,6
"Eexterveen";"Aa en Hunze                             ";"Buurt     ";"BU16800600";"1";7,1;0;0;0;3,8;0;0,2;1;7,7;0;1,2;6,7
"Verspreide huizen Eexterveen";"Aa en Hunze                             ";"Buurt     ";"BU16800609";"1";7,4;0;0;0;5,1;0;0;0,4;7,9;0;1;6
"Wijk 07 Spijkerboor";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1";4,2;0;0;2;4,1;0;0;4;7,5;0;1,2;9,2
"Spijkerboor";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1";4,2;0;0;2;4,1;0;0;4;7,5;0;1,2;9,2
"Verspreide huizen Spijkerboor";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1";;;;;;;;;;;;
"Wijk 08 Nieuw-Annerveen";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1";5,3;0;0;0,8;5,1;0;0;1,5;8,5;0;1,1;8,3
"Nieuw-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1";5,2;0;0;0,8;5;0;0;1,7;8,5;0;1,2;8,5
"Verspreide huizen Nieuw-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1";6,5;0;0;0;5,6;0;0;0;9,3;0;1;6,7
"Wijk 09 Oud-Annerveen";"Aa en Hunze                             ";"Wijk      ";"WK168009  ";"1";5,5;0;0;0,1;5,4;0;0;0,4;6,8;0;2;8,8
"Oud-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800900";"1";5,5;0;0;0,1;5,4;0;0;0,4;6,8;0;2;8,8
"Verspreide huizen Oud-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800909";"1";;;;;;;;;;;;
"Wijk 11 Annerveenschekanaal";"Aa en Hunze                             ";"Wijk      ";"WK168011  ";"1";6,3;0;0;0;4,5;0;0;0,7;9,1;0;1,9;6,3
"Annerveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801100";"1";6,3;0;0;0;4,5;0;0;0,7;9,1;0;1,9;6,3
"Verspreide huizen Annerveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801109";"1";;;;;;;;;;;;
"Wijk 12 Eexterveenschekanaal";"Aa en Hunze                             ";"Wijk      ";"WK168012  ";"1";5,1;0;0;0,4;1,4;0,4;1;2,1;8,1;0;2;7
"Eexterveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801200";"1";5,1;0;0;0,4;1,4;0,4;1;2,1;8,1;0;2;7
"Verspreide huizen Eexterveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1";;;;;;;;;;;;
"Wijk 13 Eexterzandvoort";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1";4,8;0;0;1,1;4,7;0;0;3,4;4,9;0,5;1;8
"Eexterzandvoort";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1";4,8;0;0;1;4,7;0;0;3,3;4,9;0,5;1;8
"Verspreide huizen Eexterzandvoort";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1";4,8;0;0;1,2;4,7;0;0;3,5;4,9;0,5;1;8
"Wijk 14 Gasselte";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1";3,8;0;0,2;3;0,8;0,8;1,4;8,6;4;1;2;6,9
"Gasselte";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1";4;0;0;3;0,5;0,9;1;8,9;4,1;1;2;7
"Kostvlies";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1";3,4;0;0,2;3,4;2,4;0;1,4;9;3,5;1;2;7
"Verspreide huizen Gasselte";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1";2,6;0;1,5;2,7;1,8;0;4,7;5,9;3;0,8;2;6,7
"Wijk 15 Gasselternijveen";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1";0,8;0,8;1;1,1;0,7;2,3;3,9;4,8;7,5;0;2,5;5,4
"Gasselternijveen";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1";0,7;0,8;1;1,1;0,7;2,4;3,9;4,8;7,5;0;2,5;5,4
"Gasselterboerveen";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1";1,5;0,1;1;1;0,4;1,4;4;4,1;7,1;0;2;6
"Verspreide huizen Gasselternijveen";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1";;;;;;;;;;;;
"Wijk 16 Gasselternijveenschemond";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1";1,9;0,3;2,6;7,7;2,6;0;4,7;16,4;3,9;0,8;1,1;5,5
"Gasselternijveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1";1,8;0,3;2,7;8;2,6;0;4,9;17,2;3,8;0,9;1,1;5,5
