Model,Feature Set,Seed,Balanced Accuracy,Precision,Recall,F1 (positive),Macro-F1,PR-AUC,AUC-ROC,TP,TN,FP,FN
Logistic Regression,T,42,0.5002927400468384,0.45106656662021655,1.0,0.6217034793528847,0.31143687718375657,0.5910126797533468,0.6351279151565881,4208,3,5121,0
Logistic Regression,T,1,0.5002927400468384,0.45106656662021655,1.0,0.6217034793528847,0.31143687718375657,0.5910126797533468,0.6351279151565881,4208,3,5121,0
Logistic Regression,T,7,0.5002927400468384,0.45106656662021655,1.0,0.6217034793528847,0.31143687718375657,0.5910126797533468,0.6351279151565881,4208,3,5121,0
Logistic Regression,T,13,0.5002927400468384,0.45106656662021655,1.0,0.6217034793528847,0.31143687718375657,0.5910126797533468,0.6351279151565881,4208,3,5121,0
Logistic Regression,T,21,0.5002927400468384,0.45106656662021655,1.0,0.6217034793528847,0.31143687718375657,0.5910126797533468,0.6351279151565881,4208,3,5121,0
Logistic Regression,T,37,0.5002927400468384,0.45106656662021655,1.0,0.6217034793528847,0.31143687718375657,0.5910126797533468,0.6351279151565881,4208,3,5121,0
Logistic Regression,T,55,0.5002927400468384,0.45106656662021655,1.0,0.6217034793528847,0.31143687718375657,0.5910126797533468,0.6351279151565881,4208,3,5121,0
Logistic Regression,T,77,0.5002927400468384,0.45106656662021655,1.0,0.6217034793528847,0.31143687718375657,0.5910126797533468,0.6351279151565881,4208,3,5121,0
Logistic Regression,T,99,0.5002927400468384,0.45106656662021655,1.0,0.6217034793528847,0.31143687718375657,0.5910126797533468,0.6351279151565881,4208,3,5121,0
Logistic Regression,T,123,0.5002927400468384,0.45106656662021655,1.0,0.6217034793528847,0.31143687718375657,0.5910126797533468,0.6351279151565881,4208,3,5121,0
Random Forest,T,42,0.6371727359210217,0.5513145391194172,0.8272338403041825,0.6616612811252613,0.6122111367552123,0.7016056886266756,0.728896165031181,3481,2291,2833,727
Random Forest,T,1,0.6162526751023292,0.5289928789420142,0.8650190114068441,0.6565064478311841,0.5768340820014006,0.7011326518969224,0.7292838647177378,3640,1883,3241,568
Random Forest,T,7,0.6514453900677644,0.5700425531914893,0.7958650190114068,0.6642864226916593,0.6349051272064519,0.7001708506983784,0.7293225906269757,3349,2598,2526,859
Random Forest,T,13,0.6279683061593396,0.5409561510353228,0.8443441064638784,0.6594283593170007,0.5970823338167154,0.7008678218133076,0.7290121804347245,3553,2109,3015,655
Random Forest,T,21,0.6387685216516327,0.5520340586565752,0.8319866920152091,0.663696682464455,0.6132138822724049,0.7008393758465354,0.7291463761453594,3501,2283,2841,707
Random Forest,T,37,0.6500122067776185,0.5673496808867988,0.8027566539923955,0.664829757921669,0.632109068563281,0.699745951062893,0.7291962328548574,3378,2548,2576,830
Random Forest,T,55,0.6210042282199921,0.5329227159407538,0.8635931558935361,0.6591094586016142,0.5834502380084148,0.7008460175647188,0.7288523143159901,3634,1939,3185,574
Random Forest,T,77,0.6544829854587225,0.5732647814910026,0.7949144486692015,0.6661356168475555,0.6386008092357485,0.7000368012371428,0.7294468381848781,3345,2634,2490,863
Random Forest,T,99,0.6252884732400721,0.5371666914941159,0.8569391634980988,0.6603790861642707,0.5906828919133378,0.7000214038957745,0.729094478789147,3606,2017,3107,602
Random Forest,T,123,0.6166051504438963,0.5289687137891078,0.8678707224334601,0.6573074154067674,0.576535063635587,0.7010317842700937,0.7298286710121311,3652,1872,3252,556
Gradient Boosting,T,42,0.605251455908674,0.5240601503759399,0.8281844106463878,0.6419230060784675,0.5719223024243222,0.67611496780647,0.7012010411750563,3485,1959,3165,723
Gradient Boosting,T,1,0.6051538758930612,0.5239813561870396,0.8281844106463878,0.6418638917027351,0.5717967760883951,0.6762582597225131,0.7013001516757048,3485,1958,3166,723
Gradient Boosting,T,7,0.6051538758930612,0.5239813561870396,0.8281844106463878,0.6418638917027351,0.5717967760883951,0.6760665552997362,0.7011506743038798,3485,1958,3166,723
Gradient Boosting,T,13,0.605251455908674,0.5240601503759399,0.8281844106463878,0.6419230060784675,0.5719223024243222,0.6760693447909754,0.7011535033822791,3485,1959,3165,723
