,0
topo_src_degree,0.011499133
topo_tgt_degree,0.012252103
topo_src_betweenness,0.010732643
topo_tgt_betweenness,0.011604542
topo_src_closeness,0.0116224345
topo_tgt_closeness,0.012006547
topo_src_clustering,0.010547254
topo_tgt_clustering,0.011740353
topo_src_eigenvector,0.010912271
topo_tgt_eigenvector,0.012906082
topo_edge_betweenness,0.010967384
topo_common_neighbours,0.014784253
rides_planned,0.211411
stop_count,0.030808605
disrupted_lag1,0.16793178
disrupted_lag2,0.0665474
disrupted_lag3,0.044080213
delay_freq_3m,0.13450573
delay_freq_6m,0.11275678
DR,0.013635684
RH,0.01211558
SQ,0.013032244
TG,0.01318179
TN,0.01334012
TX,0.013761255
RHX,0.011316745
