Model,Feature Set,Seed,Threshold,Balanced Accuracy,Precision,Recall,F1 (positive),Macro-F1,PR-AUC,AUC-ROC,TP,TN,FP,FN
LSTM,T,42,0.4889991283416748,0.6518146894476682,0.6542735042735043,0.8143617021276596,0.7255924170616114,0.6489852779547347,0.7392773437427533,0.7202149486890177,1531,775,809,349
LSTM,T,1,0.4599078595638275,0.5280101547388781,0.5579847908745247,0.9367021276595745,0.6993645750595711,0.4495765792845424,0.6355367855681882,0.5977705915538362,1761,189,1395,119
LSTM,T,7,0.4680348336696625,0.5203229099505695,0.5534998458217699,0.9547872340425532,0.7007612726917821,0.4257268967337027,0.6280241416643064,0.5875851265312702,1795,136,1448,85
LSTM,T,13,0.4704141318798065,0.6467641843971631,0.6498302207130731,0.8143617021276596,0.722851746931067,0.643372381637896,0.7582252755947244,0.7257678178057168,1531,759,825,349
LSTM,T,21,0.46523454785346985,0.6229583064689448,0.6290849673202614,0.8191489361702128,0.711645101663586,0.6158225508317929,0.7382946687503138,0.7063188399957017,1540,676,908,340
LSTM,T,37,0.4335533082485199,0.622682946486138,0.6257378984651711,0.8457446808510638,0.7192942773128251,0.6121401582016859,0.7437839231936809,0.7145955902106169,1590,633,951,290
LSTM,T,55,0.4527553617954254,0.6287328067913174,0.6293542074363992,0.8553191489361702,0.7251409244644871,0.6180859054733185,0.7554401570823575,0.7208993189877497,1608,637,947,272
LSTM,T,77,0.490280419588089,0.6424994627122287,0.6433853738701726,0.8329787234042553,0.7260083449235049,0.6369138893707043,0.7437093890638435,0.7137298852890608,1566,716,868,314
LSTM,T,99,0.4716547429561615,0.6511189017837954,0.6524493243243243,0.8218085106382979,0.7274011299435028,0.6476557888523484,0.7541169087972767,0.7223432798732,1545,761,823,335
LSTM,T,123,0.5074508190155029,0.6623173221577476,0.6738721804511278,0.7627659574468085,0.7155688622754491,0.6625789516856697,0.76148041741424,0.7328620312164195,1434,890,694,446
GRU,T,42,0.5028243064880371,0.5291653234472383,0.5591609308423467,0.9074468085106383,0.6919488947475158,0.4656539666526762,0.6322515934473762,0.5943450462067483,1706,239,1345,174
GRU,T,1,0.48563334345817566,0.544050881151945,0.5679546968687542,0.9069148936170213,0.6984842277755019,0.48951581867758476,0.6308417557619801,0.5956775198796476,1705,287,1297,175
GRU,T,7,0.38907334208488464,0.6412126584998925,0.6377151799687011,0.8670212765957447,0.7348963029756538,0.6314930953080515,0.7580191712696491,0.7251898976466796,1630,658,926,250
GRU,T,13,0.47774049639701843,0.623099344508919,0.6332905434317501,0.7872340425531915,0.7019207967749586,0.6191271265320754,0.7196760016298639,0.6913231382978724,1480,727,857,400
GRU,T,21,0.49873968958854675,0.5555260047281324,0.5756114364450569,0.8888297872340426,0.6987246498013799,0.513464889003254,0.6289210694032639,0.5979259013002365,1671,352,1232,209
GRU,T,37,0.5008537173271179,0.6192966903073286,0.6291613990729035,0.7941489361702128,0.7020926404890665,0.6142238903379912,0.7334023425187112,0.7004289907049215,1493,704,880,387
GRU,T,55,0.44134122133255005,0.5105577047066409,0.5481927710843374,0.9680851063829787,0.7,0.3986111111111111,0.6305635294047385,0.5961699777025575,1820,84,1500,60
GRU,T,77,0.4879680573940277,0.5443141521598969,0.5683962264150944,0.8973404255319148,0.695957095709571,0.4936516247778624,0.6313521874170689,0.5926871776273371,1687,303,1281,193
GRU,T,99,0.45141321420669556,0.533254083387062,0.5613977792292619,0.9143617021276595,0.6956697693241602,0.46918433078494015,0.6334607602818524,0.5970113367719752,1719,241,1343,161
GRU,T,123,0.4838517904281616,0.535645013969482,0.5629117259552042,0.9090425531914894,0.6952807160292921,0.4753739564241888,0.6270611217822362,0.5921164772727273,1709,257,1327,171
LSTM,T+O+W,42,0.5051863193511963,0.7307167418869547,0.7738927738927739,0.7063829787234043,0.7385984427141268,0.7282427987880358,0.8281673278070837,0.7922942859445519,1328,1196,388,552
LSTM,T+O+W,1,0.4401665925979614,0.7205109606705351,0.7219858156028369,0.8122340425531915,0.7644555694618272,0.7218118283722366,0.834318664284327,0.8046723887814313,1527,996,588,353
LSTM,T+O+W,7,0.48401525616645813,0.7328927573608425,0.7511712649661635,0.7675531914893617,0.7592738752959748,0.7333305737209007,0.832568269942227,0.8003445357833656,1443,1106,478,437
LSTM,T+O+W,13,0.5453925728797913,0.7388002364066194,0.7693156732891833,0.7414893617021276,0.7551462621885157,0.7378945155194742,0.8249324994874507,0.8004212671932087,1394,1166,418,486
