Model,Feature Set,Seed,Balanced Accuracy,Precision,Recall,F1 (positive),Macro-F1,PR-AUC,AUC-ROC,TP,TN,FP,FN
GAT-only,T,42,0.7640428054736778,0.3324175824175824,0.7527216174183515,0.46117198666031445,0.6584650903841045,0.3507772404820272,0.8268007566507958,484,3355,972,159
GAT-only,T,1,0.7326828791403825,0.26182003050330455,0.8009331259720062,0.3946360153256705,0.589541745725591,0.29319904530229923,0.8014801630760018,515,2875,1452,128
GAT-only,T,7,0.8234507833736662,0.39429407461594734,0.838258164852255,0.536318407960199,0.7093950173470605,0.4128036578902866,0.8699209024602652,539,3499,828,104
GAT-only,T,13,0.7323471809438439,0.2867513611615245,0.7371695178849145,0.41289198606271776,0.618272262000485,0.3290590767201195,0.8103080552112113,474,3148,1179,169
GAT-only,T,21,0.8319106295203793,0.39443651925820256,0.8600311041990669,0.5408312958435207,0.7109476301890181,0.4404120100732086,0.8740761560471861,553,3478,849,90
GAT-only,T,37,0.8079761388309723,0.36394557823129253,0.8320373250388803,0.5063890203502129,0.6865661723700727,0.3987191333921648,0.8553086859931545,535,3392,935,108
GAT-only,T,55,0.8243847360114669,0.40286144578313254,0.8320373250388803,0.5428716387620497,0.7149042595868222,0.48869565174045526,0.8842358786612757,535,3534,793,108
GAT-only,T,77,0.7818583518943766,0.32526381129733084,0.8149300155520995,0.4649511978704525,0.6540212663825331,0.3593392493223639,0.841095785046766,524,3240,1087,119
GAT-only,T,99,0.8164889994145049,0.3625,0.8569206842923794,0.5094775774387424,0.686524824465803,0.37411047324796637,0.8598016145861225,551,3358,969,92
GAT-only,T,123,0.8057737933285195,0.3426791277258567,0.8553654743390358,0.4893238434163701,0.6700389367887882,0.3686547389245856,0.8509744412907344,550,3272,1055,93
GAT-LSTM,T,42,0.8170111689931785,0.41185076810534016,0.8077474892395983,0.5455426356589147,0.7181475116333241,0.524735971844295,0.8844901411035566,563,3824,804,134
GAT-LSTM,T,1,0.8250879804669723,0.42027920646583394,0.8206599713055954,0.5558794946550049,0.7247507342921207,0.49800198909851057,0.8826176885999883,572,3839,789,125
GAT-LSTM,T,7,0.82837221255684,0.4136460554371002,0.8350071736011477,0.5532319391634981,0.7216194799959779,0.49829734062524333,0.8886072115462118,582,3803,825,115
GAT-LSTM,T,13,0.8096253668952877,0.36046511627906974,0.8450502152080345,0.5053625053625054,0.6833820580665153,0.47567305861568504,0.8761298266803401,589,3583,1045,108
GAT-LSTM,T,21,0.8119552372248517,0.43061062648691517,0.7790530846484935,0.5546475995914198,0.7271627321472975,0.48227963621177933,0.878314147928708,543,3910,718,154
GAT-LSTM,T,37,0.8278535680140471,0.4048275862068966,0.8421807747489239,0.5468095016301816,0.7161896502623447,0.48747839821186356,0.8804249971169192,587,3765,863,110
GAT-LSTM,T,55,0.8237008465717379,0.42620481927710846,0.812051649928264,0.5590123456790124,0.7277380568974772,0.4823262561600493,0.8793325264840426,566,3866,762,131
GAT-LSTM,T,77,0.833864481560063,0.38480853735091025,0.8794835007173601,0.5353711790393013,0.704049225883287,0.4979179303602344,0.8843422669571656,613,3648,980,84
GAT-LSTM,T,99,0.8181172800085315,0.39148073022312374,0.830703012912482,0.5321691176470589,0.7060184743297839,0.4897808097819495,0.8809957231200765,579,3728,900,118
GAT-LSTM,T,123,0.7801184295207637,0.33595166163141993,0.7977044476327116,0.47278911564625853,0.6616777585943995,0.3509750060273895,0.8332985606916418,556,3529,1099,141
GAT-GRU,T,42,0.818808599393127,0.3802453195610071,0.8450502152080345,0.5244879786286732,0.6987028184433228,0.5344373161186863,0.8907830075555317,589,3668,960,108
GAT-GRU,T,1,0.8285104764337592,0.41097818437719913,0.8378766140602583,0.5514636449480642,0.7200590611050682,0.4752557730200921,0.885391336373072,584,3791,837,113
GAT-GRU,T,7,0.8164536183594588,0.4012693935119887,0.8163558106169297,0.5380614657210402,0.7117958178048669,0.48256657749477,0.8833489991059348,569,3779,849,128
GAT-GRU,T,13,0.81055492796018,0.40795287187039764,0.7948350071736011,0.5391727493917275,0.7144962059931297,0.5156574143706463,0.8831129274864867,554,3824,804,143
GAT-GRU,T,21,0.8051099352825853,0.4084084084084084,0.7804878048780488,0.5362247412518482,0.7135363353631936,0.47002639315269223,0.8745590126347143,544,3840,788,153
GAT-GRU,T,37,0.8019199458352813,0.3344462993878687,0.8622668579626973,0.48195669607056935,0.6617728551466138,0.4030242865619015,0.856230678708231,601,3432,1196,96
GAT-GRU,T,55,0.8158828923563017,0.3702313946216385,0.8493543758967002,0.5156794425087108,0.6912847775148294,0.4345037373169108,0.8645190711147539,592,3621,1007,105
GAT-GRU,T,77,0.8171841538436738,0.42901474010861135,0.793400286944046,0.5568982880161127,0.7276642871290167,0.47519801443044934,0.8764888167464217,553,3892,736,144
GAT-GRU,T,99,0.8181175900172241,0.4301242236024845,0.7948350071736011,0.5581863979848867,0.7284873132451842,0.4511419588852538,0.8711617823763778,554,3894,734,143
GAT-GRU,T,123,0.831068978174148,0.4399075500770416,0.8192252510760402,0.5724310776942356,0.7369376647858815,0.45333795314076053,0.8807661616831736,571,3901,727,126
GAT-only,T+O+W,42,0.8011530909573186,0.37748344370860926,0.7978227060653188,0.5124875124875125,0.6947673138149328,0.4352045881159403,0.8625948464216694,513,3481,846,130
GAT-only,T+O+W,1,0.747771506699048,0.30061728395061726,0.7573872472783826,0.43040212107821474,0.6312489959305363,0.308067426632,0.814227169916841,487,3194,1133,156
GAT-only,T+O+W,7,0.7722239214796887,0.3143203883495146,0.8055987558320373,0.45220427760803145,0.6440652712396282,0.3455245453686664,0.8291702324116967,518,3197,1130,125
