Model,Feature Set,label,Balanced Accuracy,F1-Score,AUC-ROC,Threshold
GAT-only,T,REAL,0.7326828791403825,0.3946360153256705,0.8014801630760018,0.5239621996879578
GAT-LSTM,T,REAL,0.8193317390619632,0.5438931297709924,0.8824307533583242,0.5085833072662354
GAT-GRU,T,REAL,0.8204809412855937,0.521891418563923,0.8827057310686991,0.5726349353790283
GAT-only,T,SC-A: shuffled labels,0.5094619088575802,0.23031727379553465,0.5052904813746806,0.5561361908912659
GAT-LSTM,T,SC-A: shuffled labels,0.4852649768299503,0.22075968409176383,0.48209358790420487,0.47660714387893677
GAT-GRU,T,SC-A: shuffled labels,0.4879569373125222,0.22335209733067005,0.4836468864586963,0.48947009444236755
GAT-only,T,SC-B: shuffled months,0.7383076006155689,0.47486311597809855,0.8097564575597127,0.5145365595817566
GAT-LSTM,T,SC-B: shuffled months,0.8235873367407796,0.5704099821746881,0.8848071591685193,0.5320287346839905
GAT-GRU,T,SC-B: shuffled months,0.8239389325499966,0.616580310880829,0.900654176115181,0.677888810634613
GAT-only,T,SC-C: topo-only + train graph,0.8205455922359548,0.5114573785517873,0.8549178168403324,0.627526581287384
LogReg-baseline,T,SC-D: degree/service baseline,0.7525053352496004,0.5101214574898786,0.6037251884542845,0.44223624272648465
GAT-only,T+O+W,REAL,0.7888418807581316,0.4849340866290019,0.8435089303268097,0.6841028928756714
GAT-LSTM,T+O+W,REAL,0.8085584719795543,0.5415841584158416,0.8779777884971894,0.5443379282951355
GAT-GRU,T+O+W,REAL,0.8133291957506488,0.5337105139085337,0.8801304888589077,0.5218023061752319
GAT-only,T+O+W,SC-A: shuffled labels,0.5035115325269628,0.22908478382930939,0.5410486291544898,0.502057671546936
GAT-LSTM,T+O+W,SC-A: shuffled labels,0.4798793508169969,0.19230769230769232,0.476799724464274,0.4878183901309967
GAT-GRU,T+O+W,SC-A: shuffled labels,0.4778481738627951,0.19202363367799113,0.4647737122548916,0.4886063039302826
GAT-only,T+O+W,SC-B: shuffled months,0.7954001016723219,0.548582995951417,0.8622569015112803,0.5635086894035339
GAT-LSTM,T+O+W,SC-B: shuffled months,0.8293816185881826,0.6029126213592233,0.8994979969434378,0.590856671333313
GAT-GRU,T+O+W,SC-B: shuffled months,0.8043679050699859,0.5718460789089138,0.8895946437817527,0.5288451910018921
GAT-only,T+O+W,SC-C: topo-only + train graph,0.795647317056164,0.5052212829438091,0.850890157321689,0.5520102977752686
LogReg-baseline,T+O+W,SC-D: degree/service baseline,0.7525053352496004,0.5101214574898786,0.6037251884542845,0.44223624272648465
GAT-only,T+O+W+S,REAL,0.8156190235207984,0.5431578947368421,0.878403032641438,0.6607465147972107
GAT-LSTM,T+O+W+S,REAL,0.77244323430829,0.4505928853754941,0.8193686300963879,0.6268834471702576
GAT-GRU,T+O+W+S,REAL,0.7944707469597447,0.5438130642591609,0.878245325998941,0.6072508096694946
GAT-only,T+O+W+S,SC-A: shuffled labels,0.5717323069259138,0.25610317825886686,0.5793182235599033,0.4844673275947571
GAT-LSTM,T+O+W+S,SC-A: shuffled labels,0.521830192118587,0.19016030956329463,0.5436636393284467,0.48359695076942444
GAT-GRU,T+O+W+S,SC-A: shuffled labels,0.5318899741948764,0.21306160259379342,0.5560732872949758,0.49462631344795227
GAT-only,T+O+W+S,SC-B: shuffled months,0.7796822394004299,0.5483342435827416,0.8643193407047414,0.5258575677871704
GAT-LSTM,T+O+W+S,SC-B: shuffled months,0.8375516286191298,0.6067522586780789,0.9043065573686451,0.6495155096054077
GAT-GRU,T+O+W+S,SC-B: shuffled months,0.7469744817486317,0.5579937304075235,0.8823375866600364,0.7111302614212036
GAT-only,T+O+W+S,SC-C: topo-only + train graph,0.7950505002945447,0.4966313763233879,0.8544437419781967,0.6109006404876709
LogReg-baseline,T+O+W+S,SC-D: degree/service baseline,0.7525053352496004,0.5101214574898786,0.6037251884542845,0.44223624272648465
