Model,Feature Set,Balanced Accuracy,Precision,Recall,F1 (positive),Macro-F1,PR-AUC,AUC-ROC,TP,TN,FP,FN,label,Threshold
GAT-only,T,0.4970541944123862,0.1286472148541114,0.9051321928460342,0.22527578865879622,0.19329995173564157,0.13105426207132845,0.5126569721532236,582,385,3942,61,SC-A: shuffled labels,0.5375572443008423
GAT-LSTM,T,0.501019928598798,0.13112582781456952,0.994261119081779,0.2316950852557673,0.12355962489009445,0.12673009688443665,0.4872671679713899,693,36,4592,4,SC-A: shuffled labels,0.4950401484966278
GAT-GRU,T,0.49222637702761185,0.12897310513447433,0.9081779053084649,0.22586975914362176,0.1829051471634858,0.1272415270811631,0.4838618774870448,633,353,4275,64,SC-A: shuffled labels,0.4789568781852722
GAT-only,T,0.774873230824175,0.3508338480543545,0.7966339410939691,0.48713550600343053,0.6649662808671201,0.3716143591171838,0.824858223778606,568,3206,1051,145,SC-B: shuffled months,0.5327244400978088
GAT-LSTM,T,0.8296537528900919,0.439918533604888,0.8404669260700389,0.5775401069518716,0.7323817594002755,0.4964549626137109,0.8788673402951866,648,3729,825,123,SC-B: shuffled months,0.5298433303833008
GAT-GRU,T,0.7969079220559512,0.4716193656093489,0.7328145265888456,0.5738953783646521,0.7386237633673278,0.5065641470499003,0.8813051566815735,565,3921,633,206,SC-B: shuffled months,0.6715880632400513
GAT-only,T,0.7947812947814745,0.34080717488789236,0.8273716951788491,0.4827586206896552,0.6676978212031524,0.35262816539469155,0.8402281453824785,532,3298,1029,111,SC-C: topo-only + train graph,0.6100850105285645
LogReg-baseline,T,0.7525053352496004,0.4273255813953488,0.6327116212338594,0.5101214574898786,0.7075884722714498,0.3123132323117503,0.6037251884542845,441,4037,591,256,SC-D: degree/service baseline,0.44223624272648465
GAT-only,T+O+W,0.5060441849272947,0.13081333616479082,0.9580093312597201,0.23019431988041852,0.16609977545895382,0.13051717405773489,0.5123739289735938,616,234,4093,27,SC-A: shuffled labels,0.4887831509113312
GAT-LSTM,T+O+W,0.4893902625029606,0.12662013958125623,0.5466284074605452,0.20561252023745277,0.3908246932984499,0.12815003789468946,0.48704272167791585,381,2000,2628,316,SC-A: shuffled labels,0.4755784273147583
GAT-GRU,T+O+W,0.4843121651131098,0.12503849707422235,0.5824964131994261,0.20588235294117646,0.36941895756214804,0.12485546564125666,0.47207922210138775,406,1787,2841,291,SC-A: shuffled labels,0.4909895658493042
GAT-only,T+O+W,0.7933340383844314,0.3596861798430899,0.8359046283309958,0.5029535864978903,0.6736696598275449,0.4320673558812934,0.8524725054781483,596,3196,1061,117,SC-B: shuffled months,0.5555461049079895
GAT-LSTM,T+O+W,0.8308277325787052,0.4246311738293778,0.8586251621271076,0.5682403433476395,0.723663440904589,0.5707585005286459,0.895693528073836,662,3657,897,109,SC-B: shuffled months,0.4996858537197113
GAT-GRU,T+O+W,0.8006315053768953,0.35235602094240837,0.8728923476005188,0.5020514733308467,0.6672636586129701,0.46446370247176777,0.8693819432696104,673,3317,1237,98,SC-B: shuffled months,0.5917364954948425
GAT-only,T+O+W,0.7947812947814745,0.34080717488789236,0.8273716951788491,0.4827586206896552,0.6676978212031524,0.35262816539469155,0.8402281453824785,532,3298,1029,111,SC-C: topo-only + train graph,0.6100850105285645
LogReg-baseline,T+O+W,0.7525053352496004,0.4273255813953488,0.6327116212338594,0.5101214574898786,0.7075884722714498,0.3123132323117503,0.6037251884542845,441,4037,591,256,SC-D: degree/service baseline,0.44223624272648465
GAT-only,T+O+W+S,0.5740216320467418,0.18518518518518517,0.4276827371695179,0.25845864661654133,0.528230859406581,0.17182412522700102,0.5751570395444567,275,3117,1210,368,SC-A: shuffled labels,0.48730695247650146
GAT-LSTM,T+O+W+S,0.5263922800395323,0.147239263803681,0.4131994261119082,0.21711270260082924,0.4786951533511837,0.14461483387034577,0.5358774610040065,288,2960,1668,409,SC-A: shuffled labels,0.41081637144088745
GAT-GRU,T+O+W+S,0.5145268523329394,0.13549568401778708,0.7431850789096126,0.22920353982300884,0.33042558720351095,0.14097101562457265,0.5251598404819271,518,1323,3305,179,SC-A: shuffled labels,0.5002719163894653
GAT-only,T+O+W+S,0.7879244185222853,0.3810810810810811,0.791023842917251,0.5143638850889193,0.688445657530906,0.4098190783497068,0.8505629371769818,564,3341,916,149,SC-B: shuffled months,0.5722548365592957
GAT-LSTM,T+O+W+S,0.7893411359406961,0.5120307988450433,0.6900129701686122,0.5878453038674033,0.751728081797955,0.5711832288423287,0.8913104712038902,532,4047,507,239,SC-B: shuffled months,0.7317876815795898
GAT-GRU,T+O+W+S,0.821877632696445,0.4690603514132926,0.7963683527885862,0.5903846153846154,0.7454840229781887,0.5259884498770439,0.8883618511854005,614,3859,695,157,SC-B: shuffled months,0.6445241570472717
GAT-only,T+O+W+S,0.7947812947814745,0.34080717488789236,0.8273716951788491,0.4827586206896552,0.6676978212031524,0.35262816539469155,0.8402281453824785,532,3298,1029,111,SC-C: topo-only + train graph,0.6100850105285645
LogReg-baseline,T+O+W+S,0.7525053352496004,0.4273255813953488,0.6327116212338594,0.5101214574898786,0.7075884722714498,0.3123132323117503,0.6037251884542845,441,4037,591,256,SC-D: degree/service baseline,0.44223624272648465
