Season,Metric,Values
Winter,precision,"[0.43271555197421435, 0.428279525950143, 0.420049710024855, 0.4403708386009271, 0.41003671970624234, 0.4345572354211663, 0.42255823457294645, 0.42098865478119935, 0.4306869600987248, 0.43556485355648533, 0.43584521384928715, 0.426890756302521, 0.4131568391496189, 0.4134217067108534, 0.43280552172147785, 0.41927303465765003, 0.42072667217175885, 0.41895773491998356, 0.3930327868852459, 0.42569659442724456, 0.41366303436714164, 0.4071398215044624, 0.41517298874531056, 0.43125, 0.4211822660098522, 0.4229299363057325, 0.426834211593028, 0.429788961038961, 0.42424242424242425, 0.4246411483253589, 0.4330740892345477, 0.4282228548190321, 0.4089962515618492, 0.41484536082474227, 0.41844863731656184, 0.42613878246062153, 0.4353967594515995, 0.4366013071895425, 0.41483292583537085, 0.42198731501057085, 0.41017227235438886, 0.42778716216216217, 0.41801292407108237, 0.4204064352243861, 0.42937625754527164, 0.4175824175824176, 0.4019685039370079, 0.4104183109707972, 0.4154488517745303, 0.41483292583537085, 0.42845495311863024, 0.41014014839241547, 0.4268440145102781, 0.39588688946015427, 0.42131350681536556, 0.42928245541269183, 0.42323651452282157, 0.41725134131242264, 0.42589508742714405, 0.417358803986711, 0.4199009083402147, 0.42607246980424823, 0.41948975324132165, 0.4214495182237118, 0.4227574750830565, 0.42530681337283116, 0.4252, 0.4150707743547044, 0.4179784589892295, 0.39901071723000825, 0.40275459098497496, 0.4258793969849246, 0.43170529801324503, 0.4341052631578947, 0.41359060402684567, 0.43254292722812754, 0.4197631686402613, 0.4240325865580448, 0.405982905982906, 0.40214698596201487, 0.4161016949152542, 0.42881002087682674, 0.3986184477854531, 0.424181156490093, 0.42983193277310927, 0.4318181818181818, 0.43096936634494337, 0.40871021775544386, 0.4172297297297297, 0.4280397022332506, 0.41188694929343306, 0.4140786749482402, 0.42054908485856907, 0.4104299363057325, 0.4284, 0.41894127377998347, 0.41613316261203587, 0.4103734439834025, 0.40756972111553785, 0.41477507222451504]"
Winter,recall,"[0.35633709356337095, 0.34748010610079577, 0.33267716535433073, 0.3478695073235686, 0.337248322147651, 0.3386065297879502, 0.34057971014492755, 0.3429042904290429, 0.35181451612903225, 0.34909456740442657, 0.35821894877803817, 0.34359147784917143, 0.3416252072968491, 0.3365935919055649, 0.3444264943457189, 0.33277423683327745, 0.33764082173624915, 0.3455160744500846, 0.3217041261321704, 0.357839947950553, 0.33131923464249746, 0.330686917500863, 0.34203296703296704, 0.3386780104712042, 0.33650377172843554, 0.3235867446393762, 0.3526456798392498, 0.34744094488188976, 0.339508251936679, 0.3476983349657199, 0.34473769957640926, 0.34434270765206015, 0.334924965893588, 0.3365674138507862, 0.3345625209520617, 0.3355682199128394, 0.3477106834771068, 0.34035326086956524, 0.33708609271523177, 0.3334447043100568, 0.34281796366129585, 0.34350627331298744, 0.3413588390501319, 0.3317741396592048, 0.35052562417871225, 0.3372013651877133, 0.34458319271009114, 0.34934497816593885, 0.3338926174496644, 0.3442678390260399, 0.3542298618132794, 0.3402872777017784, 0.36020408163265305, 0.3237561317449194, 0.3395472703062583, 0.3326904532304725, 0.3402268178785857, 0.33903420523138833, 0.3402061855670103, 0.3479916897506925, 0.33464955577492594, 0.3543470730862487, 0.33612600536193027, 0.32865076772296636, 0.34069611780455156, 0.34021665538253215, 0.35492487479131885, 0.3368243243243243, 0.335997335997336, 0.3331039229181005, 0.33460471567267686, 0.34277047522750254, 0.33797796500324045, 0.34071381361533376, 0.3320983496126642, 0.35384615384615387, 0.3367179823124795, 0.33429672447013487, 0.32062099223759705, 0.32860998650472334, 0.33687821612349916, 0.3432486631016043, 0.33641975308641975, 0.3428104575163399, 0.3389662027833002, 0.35137861466039005, 0.33420110641067363, 0.33051134439553, 0.3328840970350404, 0.34113381674357285, 0.33221589004358026, 0.333000333000333, 0.34341032608695654, 0.33992746455654466, 0.3486328125, 0.3345442536327609, 0.3335614095107766, 0.33754266211604095, 0.3445604580666891, 0.33815612382234184]"
Winter,f1,"[0.39082969432314413, 0.3836719751052535, 0.3712925668253387, 0.38869257950530034, 0.3700975879211931, 0.38062807415815364, 0.3771657851541127, 0.3779556202255366, 0.38727575365267247, 0.3875651526433358, 0.3932377802278574, 0.3807382424583099, 0.37400145243282495, 0.371072690091095, 0.38359121986326017, 0.37104918645969703, 0.37463235294117647, 0.37870919881305637, 0.35380926028408044, 0.38882997525627433, 0.3679403541472507, 0.364952380952381, 0.37507060817171906, 0.37939882697947214, 0.3741112123974476, 0.36664826062948647, 0.38620942600403446, 0.38425253991291725, 0.3771749298409729, 0.3823371028540657, 0.3838896952104499, 0.3817292006525285, 0.36827301706356647, 0.3716291097155523, 0.37183308494783907, 0.3754688672168042, 0.3866445305294226, 0.38251574728001525, 0.37194008037997806, 0.3725270623366928, 0.3734827264239029, 0.38104194094414146, 0.3758169934640523, 0.3708683473389356, 0.38596491228070173, 0.3731117824773414, 0.3710703252771216, 0.37742696425331157, 0.3702325581395349, 0.37627055997043063, 0.3878228782287823, 0.3719626168224299, 0.3907028223574986, 0.3562066306861989, 0.376036866359447, 0.37486417964505614, 0.3772189349112426, 0.37409805735430157, 0.37825845812534664, 0.3795317220543807, 0.3724592565464201, 0.3869137670196672, 0.3732093023255814, 0.36930983847283405, 0.37731653076352856, 0.3780327252209893, 0.38689717925386713, 0.3718761656098471, 0.3725309211740816, 0.3630907726931733, 0.36553030303030304, 0.3798319327731092, 0.3791348600508906, 0.38178115163858545, 0.36839155613674573, 0.38925680647534955, 0.3736822973464195, 0.3738552702460047, 0.3582877616443523, 0.3616784255477163, 0.3723222748815166, 0.38128828661592723, 0.3648874837269853, 0.3791794686426893, 0.37902927010003706, 0.3874675565443085, 0.37646627565982405, 0.3654746302190601, 0.37031484257871067, 0.37967718268525313, 0.3677862312117276, 0.36913990402362495, 0.37808526551982047, 0.37186654643823264, 0.3844221105527638, 0.37201615864854937, 0.37030003797949107, 0.3704119850187266, 0.3734258076291294, 0.37256719184430026]"
Winter,ba,"[0.6455668981755912, 0.6413437951771115, 0.6338710502096329, 0.6431997045967963, 0.6351952725959265, 0.6390541545736904, 0.6375390670138693, 0.6383397158883559, 0.643917613094102, 0.6433579745373192, 0.6470804285539513, 0.6402960391416658, 0.6369358843412416, 0.6355841405907716, 0.6397445073411299, 0.6346212701713898, 0.636328516472571, 0.6400604895411186, 0.6266124551685497, 0.6444628364253554, 0.6333187786324512, 0.6332168869665431, 0.6386833345489319, 0.6376714105808137, 0.6355509257083664, 0.6302327592216853, 0.6436246621377361, 0.6411369845003141, 0.6381445321793474, 0.6403611192117994, 0.6402178678484675, 0.6395495440812505, 0.6347304290623135, 0.6354653526999433, 0.6352118963141812, 0.6366164798986162, 0.6423882675512792, 0.640334496018239, 0.635283828273495, 0.6351007930525533, 0.6382615935129125, 0.640472837473706, 0.6372858340597342, 0.6342192465587257, 0.642383939894958, 0.6368173077437782, 0.6372026612661105, 0.6401387181061307, 0.6345808565332287, 0.6389714789790955, 0.6447227124324473, 0.6371469592714758, 0.6472886754849623, 0.6294702328302606, 0.6373490841440568, 0.6343407608758307, 0.6379523723821434, 0.6368712134082587, 0.6381832742565852, 0.6416984231442229, 0.6347548859128698, 0.6454530816837716, 0.6359690330176281, 0.6322791593290656, 0.6382018979402035, 0.6387515344890864, 0.6442185563981117, 0.635961127424542, 0.6354830466147291, 0.632960587392144, 0.6343664344336502, 0.6397092522156643, 0.6370913893411333, 0.6392198481476724, 0.6337463881710902, 0.6448201996911406, 0.6353968014090814, 0.6342554618907853, 0.6282014640097664, 0.6308546143944795, 0.6366777103758601, 0.6399811043117201, 0.6340959174799607, 0.6383627190124859, 0.6380565150090656, 0.643910625625471, 0.6356169219074497, 0.6326535017983191, 0.6345566511053206, 0.6385144378053639, 0.6333911820160097, 0.6337531172060217, 0.6395550522606127, 0.6356416001809375, 0.6411394003064637, 0.6347188367329699, 0.6352381638284803, 0.635996167297526, 0.6379209702875615, 0.6363086036009472]"
Winter,auc,"[0.7851351929395709, 0.7828009630986228, 0.7814843761412941, 0.7797233448656128, 0.7867927776322763, 0.7876966598301303, 0.7859598074847916, 0.7818813900112785, 0.7835886208255789, 0.7848622764051246, 0.7880054275865754, 0.7864953296450079, 0.7798672470709636, 0.7770806259071883, 0.7817737811461185, 0.7732246274151918, 0.7769092869063219, 0.7831077673906455, 0.7707706133543762, 0.7821141465231572, 0.771121143890849, 0.7769749675686828, 0.7808167214192518, 0.7784938585770396, 0.7809862266195882, 0.7793509336293375, 0.7862639191322525, 0.7842789030429638, 0.7818026674919919, 0.7820304661139813, 0.7866588618997228, 0.7802184752935892, 0.7781812332536195, 0.7780197449392394, 0.7801885443331091, 0.783182829870228, 0.7881921352603597, 0.7789808609805488, 0.7772810685848283, 0.7793712045663801, 0.7782852122497735, 0.7856319015832678, 0.7832792446018884, 0.7852682243609674, 0.782780335942198, 0.7773907788428023, 0.7825846017881117, 0.7759882691779317, 0.7821724541763536, 0.7786497696018807, 0.785033330375797, 0.7774480720590318, 0.7920534325046245, 0.7760892422043029, 0.7811635263948508, 0.7801446194633215, 0.7795055410995886, 0.7822387017936716, 0.7803857493018119, 0.7811901776194631, 0.7822938469804606, 0.7814426417638546, 0.774505294112688, 0.7801754177184701, 0.7730402104873395, 0.7854825529270932, 0.7872469785891398, 0.7787718904811131, 0.7743051209378449, 0.7783637008790092, 0.7784089581411076, 0.7824932209108193, 0.7807038155293385, 0.7796368779446631, 0.77473034938367, 0.783261920033813, 0.7766846942703949, 0.7775260608044701, 0.7771162813687282, 0.7758389436872108, 0.777614898815286, 0.7816720868899844, 0.7708589839369833, 0.7739112466346603, 0.782175420535303, 0.7847719510355036, 0.77781635946175, 0.7821847206324778, 0.7830765534773879, 0.7878609879112405, 0.7781199048945955, 0.7821339117566843, 0.7779111092310024, 0.7782024383003646, 0.7857612054379874, 0.772990794597963, 0.7803413901229868, 0.7776856469196842, 0.77772504832232, 0.78022406296818]"
Spring,precision,"[0.19482727760873456, 0.19767337000631255, 0.19030986924592513, 0.19435961918447997, 0.19663531114327062, 0.19594594594594594, 0.19900937555280382, 0.19849043040704467, 0.19211689365924056, 0.19486860795454544, 0.19356284740900126, 0.19721825962910128, 0.18578497525865947, 0.19347923179991067, 0.19886924526608632, 0.1947548666186013, 0.19406840042750267, 0.2015365374307665, 0.1968390804597701, 0.19684688696891423, 0.18902439024390244, 0.1903323262839879, 0.1983167696302265, 0.1952515946137491, 0.19369811657591718, 0.19216250224698903, 0.194252261841405, 0.1975806451612903, 0.1931162955734942, 0.1909878995846126, 0.19245647969052224, 0.1943475538860567, 0.19717168077823816, 0.19553863857661327, 0.19605920114122682, 0.19837837837837838, 0.1898135759521898, 0.19468869348965273, 0.18967371817855863, 0.1910394265232975, 0.19262441818832796, 0.19828815977175462, 0.1854522792022792, 0.19335482715385993, 0.1895038509761777, 0.1955833186697167, 0.19617310443490701, 0.18729582577132486, 0.20205816554809844, 0.19474291803569843, 0.19340796019900497, 0.18721993188743502, 0.19686302468585687, 0.1894518945189452, 0.1988935486749353, 0.18869984532799564, 0.19108620229516948, 0.19169414490687103, 0.19278060776392061, 0.19409094954169262, 0.19439184924713732, 0.19135524538496174, 0.19222903885480572, 0.19764727011494254, 0.19649216524216523, 0.18922517085293333, 0.19020327751410407, 0.1977491961414791, 0.19441665908884243, 0.1906639190036735, 0.19327433628318583, 0.19609938551963665, 0.19245656674768205, 0.19643496954496595, 0.1974511018674219, 0.19145178382197103, 0.1941119091957081, 0.19814352017136738, 0.18357875948237393, 0.19628192401407815, 0.1973404255319149, 0.18717488789237668, 0.19477159172019987, 0.19328257948947605, 0.19955217196596506, 0.19086474501108647, 0.20098039215686275, 0.1936924863754132, 0.19385194479297366, 0.19296993487376216, 0.19697106283241683, 0.19816202712348321, 0.19376490329417997, 0.19268660690512115, 0.19769760696156635, 0.19477308846900937, 0.1995168649906057, 0.19553122756640345, 0.18879871577633103, 0.1942273534635879]"
Spring,recall,"[0.8199623352165725, 0.8379204892966361, 0.831377151799687, 0.8384347152266564, 0.8219281663516068, 0.8292032024399543, 0.8284241531664213, 0.8292042042042042, 0.8151549942594719, 0.8504455637349865, 0.8400778210116732, 0.8275346053123831, 0.8279871692060946, 0.8333974605617546, 0.8159057437407953, 0.8251240931653303, 0.8342266462480857, 0.8364849833147943, 0.8256120527306968, 0.8403041825095057, 0.8309026409144659, 0.827027027027027, 0.8355337608449641, 0.8236173393124065, 0.8359013867488444, 0.822624086186995, 0.8261033572236892, 0.8277027027027027, 0.834739263803681, 0.8339905362776026, 0.8316869300911854, 0.8370570107858244, 0.8241716867469879, 0.8288930581613508, 0.8288729739917075, 0.8293785310734463, 0.8338557993730408, 0.8321943811693242, 0.8243085313595637, 0.8253968253968254, 0.8280107733743748, 0.8276888723483439, 0.8233201581027668, 0.8190440060698028, 0.8214285714285714, 0.8391845979614949, 0.8307459295721318, 0.8187227290757636, 0.8319823139277819, 0.8376623376623377, 0.8293333333333334, 0.8217938630999213, 0.8364255963650132, 0.8245201723462593, 0.8363977485928705, 0.8162140889413617, 0.8280647648419429, 0.8244538137217324, 0.8298676748582231, 0.8273899848254932, 0.8225867989317055, 0.8268482490272373, 0.8180098373060916, 0.8176077265973254, 0.8300112824370064, 0.82, 0.8248543689320388, 0.8345269506219374, 0.8254826254826255, 0.8209876543209876, 0.8412942989214176, 0.8356736242884251, 0.824527574238334, 0.8201196709050113, 0.8368342085521381, 0.8162650602409639, 0.8269739327540612, 0.8371040723981901, 0.8162698412698413, 0.8235516849678152, 0.8296682817741334, 0.8104854368932038, 0.8172968925496069, 0.83, 0.8319641523525019, 0.8210606638687524, 0.8339497041420119, 0.8325652841781874, 0.8328840970350404, 0.8309642719938533, 0.8254627880619569, 0.8406510219530658, 0.8238828389034923, 0.8204837490551776, 0.8311737804878049, 0.8318250377073907, 0.8336448598130841, 0.8269449715370019, 0.8301960784313726, 0.8243497926875235]"
Spring,f1,"[0.31484561428881336, 0.3198832542867567, 0.30972161492493805, 0.3155668975574189, 0.3173490986059412, 0.316986081760548, 0.3209242618741977, 0.3203074023055173, 0.310948905109489, 0.31708197905381, 0.3146313028271641, 0.31852545179638564, 0.30347564111984715, 0.3140495867768595, 0.31979219279890325, 0.3151294203426905, 0.3148843930635838, 0.3248146281765172, 0.31788847799289394, 0.3189723605397994, 0.30798451311271824, 0.3094481363767697, 0.32054992764109985, 0.31566886279003153, 0.3145155446046815, 0.31154826958105647, 0.31454219030520647, 0.3190104166666667, 0.313666162380232, 0.31080088170462894, 0.3125803227188348, 0.31545329171808084, 0.3182148568105829, 0.31643031084371864, 0.3171101016655851, 0.3201744820065431, 0.3092349051805566, 0.31555459583963147, 0.3083873788530205, 0.31026704504111186, 0.31254084670684773, 0.3199309501546429, 0.3027176282517076, 0.31285320967975655, 0.3079609954882841, 0.31723153763824474, 0.3173960216998192, 0.30485193117199616, 0.3251493988048096, 0.3160170041069241, 0.313666162380232, 0.30496350364963504, 0.31871302842302696, 0.3081088992974239, 0.3213667820069204, 0.3065326633165829, 0.3105168052041923, 0.3110629067245119, 0.3128786258997933, 0.31442370071361636, 0.3144690781796966, 0.31078610603290674, 0.31130309575233983, 0.31833960080995083, 0.3177597005255201, 0.3074926083507608, 0.30912530927084847, 0.31973427684309336, 0.31471259291970266, 0.30945975423543953, 0.3143350604490501, 0.31765724177726484, 0.31207123047730256, 0.31695331695331697, 0.31951306838524884, 0.31015736766809726, 0.3144211433496122, 0.3204387990762125, 0.29974499089253187, 0.3170091823349366, 0.318842655589773, 0.3041165755919854, 0.31457597809640464, 0.31354885579367964, 0.32189554287365457, 0.3097294185377087, 0.3239011778224648, 0.3142712183808074, 0.3145038167938931, 0.31320590790616853, 0.3180494905385735, 0.32072202166064984, 0.31374231374231376, 0.31208222525695395, 0.3194200351493849, 0.31563886106739164, 0.3219751660410049, 0.31627839465853835, 0.30763641647896534, 0.3143822324444764]"
Spring,ba,"[0.7110909032170933, 0.7226191580084276, 0.7166966315409933, 0.7215706098608163, 0.7147028139518331, 0.7175817336703083, 0.7134761631195408, 0.7173355268444613, 0.709938485655773, 0.7253946486046694, 0.7219373380264286, 0.7145637628331827, 0.7153457071720801, 0.7175940288607485, 0.7100763812023123, 0.7153562551109605, 0.7174531139541034, 0.7202889126354268, 0.7150873951866412, 0.7210397828150584, 0.7165596948414694, 0.712658247455232, 0.7198621858773491, 0.7108085368952173, 0.718784136951615, 0.7131114609289038, 0.7122736748986451, 0.7158107480517804, 0.7167078185332105, 0.7199815899930477, 0.7130034844793633, 0.7199131682671901, 0.7150437953565156, 0.7134557293637611, 0.7151217213017778, 0.7179875235613054, 0.7170467324843726, 0.7158454126792776, 0.7130879395985699, 0.7137561473832958, 0.7150991504694931, 0.7147830707265495, 0.7105212671092473, 0.7105777966471292, 0.7113487307951334, 0.7175281193484986, 0.7167603808341394, 0.7125435023719184, 0.7183538503456898, 0.7186987477320737, 0.7142295419757447, 0.7114116471366044, 0.7191141767615098, 0.7140646636379184, 0.7196408417415874, 0.7119738401771739, 0.7135605803132947, 0.7121298366173081, 0.7118447442701934, 0.7136684871337786, 0.7140701962166915, 0.715652904851019, 0.7082757980167222, 0.710960543693685, 0.7154611112812961, 0.7085489348564371, 0.7132246115521063, 0.7187223612526132, 0.7174629104135783, 0.711362395565767, 0.7196505449715789, 0.7184596586854264, 0.7144904185124651, 0.7115776017253496, 0.7178597547825494, 0.705718416842859, 0.7126560638754837, 0.7199754922797281, 0.7071064848242583, 0.7150190379593406, 0.7144357345125647, 0.7055995780818121, 0.7089979728653706, 0.7163716755612402, 0.7182170839213273, 0.7091573847332461, 0.7183617101506727, 0.7172222512469746, 0.7181045992319319, 0.7159673587582853, 0.7158782162708794, 0.7217704316605504, 0.7100617202036259, 0.7092430677922725, 0.7201919500699433, 0.7143299186149792, 0.7188624334466783, 0.7154647112301141, 0.7149484110855978, 0.7116222880325327]"
Spring,auc,"[0.779100474781431, 0.7907154548776131, 0.7822550198010314, 0.7929604693015913, 0.7802847769112193, 0.7806856143522365, 0.7869141261708271, 0.7875418792006212, 0.7789477235318418, 0.7909334597640366, 0.7930803639142636, 0.7807526758903356, 0.7836291977166465, 0.7819234472598771, 0.7792758753589254, 0.7836640770853249, 0.7806631557222699, 0.7837976423130196, 0.7847051137878451, 0.7915549236798185, 0.7836427713610554, 0.7840439585579118, 0.7919609690176183, 0.7716160038308193, 0.7883876592650061, 0.7875301252885514, 0.7812820019675535, 0.7849224783189134, 0.7847802211187489, 0.7835373550025952, 0.7855804150793494, 0.7922961692959742, 0.7853747028171048, 0.7824397281209461, 0.7869109357872892, 0.7845761979151316, 0.7905354205346883, 0.7813047501400526, 0.7844471759419563, 0.7850758092671904, 0.7840533485596047, 0.7888545657567021, 0.7752291240548497, 0.7784585182664207, 0.7789382958100188, 0.7873310289490363, 0.7856847050126823, 0.783295441358691, 0.7884149474841424, 0.7842122908833282, 0.7873652251433954, 0.7822303743287595, 0.7881482278596389, 0.7829109843156077, 0.7858250296429962, 0.7810016036145001, 0.7816242701811679, 0.7840408794288742, 0.7844802748689831, 0.7821849516781414, 0.7805946893976259, 0.7840419622631679, 0.7761301374042839, 0.7803177670506696, 0.780181591656804, 0.7822564877234528, 0.7809136855648716, 0.7848760957600007, 0.7839407907917365, 0.7852169053229412, 0.7918579966682913, 0.7802183462408843, 0.785106081969432, 0.7822179931777284, 0.7841118892099722, 0.7785696440091179, 0.7817110551227527, 0.788693823722441, 0.7768522762391703, 0.7859965864446357, 0.7883867684931786, 0.7778166760340717, 0.7757572717230704, 0.7846996427468795, 0.7882925730064134, 0.7772256310381862, 0.78722635528495, 0.7854756870040283, 0.786959107123414, 0.7841569252403108, 0.7868389021646685, 0.7910647306684528, 0.7786214614311839, 0.7735966078559314, 0.7869740015711671, 0.7823521860618442, 0.7814421092595243, 0.7861287372091694, 0.7882472540131662, 0.7817435710803011]"
